mix_id,dataset,target_audio_path,target_speaker_id,target_transcript,enrollment_audio_path,noise_audio_path,noise_speaker_id,noise_transcript,sir_level_db,overlap_ratio
mix_librispeech_00000,librispeech,data/librispeech/LibriSpeech/test-clean/908/31957/908-31957-0025.flac,908,i love thee with a love i seemed to lose with my lost saints i love thee with the breath smiles tears of all my life and if god choose i shall but love thee better after death,data/librispeech/LibriSpeech/test-clean/908/157963/908-157963-0007.flac,data/librispeech/LibriSpeech/test-clean/1188/133604/1188-133604-0038.flac,1188,but now here is a subject of which you will wonder at first why turner drew it at all,5,0.2
mix_librispeech_00001,librispeech,data/librispeech/LibriSpeech/test-clean/2961/961/2961-961-0017.flac,2961,observe again what care the law took in the pursuit of wisdom searching out the deep things of the world and applying them to the use of man,data/librispeech/LibriSpeech/test-clean/2961/960/2961-960-0008.flac,data/librispeech/LibriSpeech/test-clean/1580/141084/1580-141084-0031.flac,1580,we want to know mister gilchrist how you an honourable man ever came to commit such an action as that of yesterday,0,0.5
mix_librispeech_00002,librispeech,data/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0047.flac,61,master monceux the sheriff of nottingham was mightily put about when told of the rioting,data/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0004.flac,data/librispeech/LibriSpeech/test-clean/121/121726/121-121726-0013.flac,121,tied to a woman,0,0.2
mix_librispeech_00003,librispeech,data/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0009.flac,3570,each will therefore serve about equally well during the earlier stages of social growth,data/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0015.flac,data/librispeech/LibriSpeech/test-clean/1188/133604/1188-133604-0044.flac,1188,it will be well for you if you join not with those who instead of kites fly falcons who instead of obeying the last words of the great cloud shepherd to feed his sheep live the lives how much less than vanity of the war wolf and the gier eagle,0,1.0
mix_librispeech_00004,librispeech,data/librispeech/LibriSpeech/test-clean/7176/92135/7176-92135-0045.flac,7176,lord john taking out gold cigarette case from his left hand upper waistcoat pocket,data/librispeech/LibriSpeech/test-clean/7176/92135/7176-92135-0025.flac,data/librispeech/LibriSpeech/test-clean/2961/961/2961-961-0005.flac,2961,some poems of solon were recited by the boys,5,0.5
mix_librispeech_00005,librispeech,data/librispeech/LibriSpeech/test-clean/4446/2273/4446-2273-0001.flac,4446,they asked him to come to see them in chelsea and they spoke very tenderly of hilda,data/librispeech/LibriSpeech/test-clean/4446/2275/4446-2275-0041.flac,data/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0026.flac,1089,the rector did not ask for a catechism to hear the lesson from,0,1.0
mix_librispeech_00006,librispeech,data/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,61,he made an effort to hide his condition from them all and robin felt his fingers tighten upon his arm,data/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0043.flac,data/librispeech/LibriSpeech/test-clean/4446/2273/4446-2273-0000.flac,4446,hilda was very nice to him and he sat on the edge of his chair flushed with his conversational efforts and moving his chin about nervously over his high collar,0,0.2
mix_librispeech_00007,librispeech,data/librispeech/LibriSpeech/test-clean/4992/41797/4992-41797-0013.flac,4992,she makes effort after effort trembling with eagerness and when she fails to reproduce what she sees she works herself into a frenzy of grief and disappointment,data/librispeech/LibriSpeech/test-clean/4992/23283/4992-23283-0006.flac,data/librispeech/LibriSpeech/test-clean/1580/141083/1580-141083-0045.flac,1580,he was still suffering from this sudden disturbance of the quiet routine of his life,5,0.1
mix_librispeech_00008,librispeech,data/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0008.flac,5142,i painted the eyes red for anger,data/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0044.flac,data/librispeech/LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8463,never did he object to buckling up his suitcase for any country whatever china or the congo no matter how far off it was,5,0.1
mix_librispeech_00009,librispeech,data/librispeech/LibriSpeech/test-clean/6829/68769/6829-68769-0021.flac,6829,a fresh wholesome looking boy was tom gates with steady gray eyes an intelligent forehead but a sensitive rather weak mouth,data/librispeech/LibriSpeech/test-clean/6829/68771/6829-68771-0014.flac,data/librispeech/LibriSpeech/test-clean/2094/142345/2094-142345-0000.flac,2094,it is a very fine old place of red brick softened by a pale powdery lichen which has dispersed itself with happy irregularity so as to bring the red brick into terms of friendly companionship with the limestone ornaments surrounding the three gables the windows and the door place,5,0.1
mix_librispeech_00010,librispeech,data/librispeech/LibriSpeech/test-clean/7729/102255/7729-102255-0028.flac,7729,private persons who had leased the free state hotel vainly besought the various authorities to prevent the destruction of their property,data/librispeech/LibriSpeech/test-clean/7729/102255/7729-102255-0018.flac,data/librispeech/LibriSpeech/test-clean/908/157963/908-157963-0011.flac,908,which thou dost scatter on every little blade of grass that springs revives the milked cow and tames the fire breathing steed,5,0.5
mix_librispeech_00011,librispeech,data/librispeech/LibriSpeech/test-clean/2830/3979/2830-3979-0003.flac,2830,the undertaking which seemed so attractive when viewed as a literary task proved a most difficult one and at times became oppressive,data/librispeech/LibriSpeech/test-clean/2830/3979/2830-3979-0008.flac,data/librispeech/LibriSpeech/test-clean/1221/135767/1221-135767-0000.flac,1221,hester prynne went one day to the mansion of governor bellingham with a pair of gloves which she had fringed and embroidered to his order and which were to be worn on some great occasion of state for though the chances of a popular election had caused this former ruler to descend a step or two from the highest rank he still held an honourable and influential place among the colonial magistracy,0,0.3
mix_librispeech_00012,librispeech,data/librispeech/LibriSpeech/test-clean/1320/122617/1320-122617-0034.flac,1320,hold said david perceiving that with this assurance they were about to leave him i am an unworthy and humble follower of one who taught not the damnable principle of revenge,data/librispeech/LibriSpeech/test-clean/1320/122617/1320-122617-0037.flac,data/librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0010.flac,3570,the modern organization of industry works in the same direction also by another line,0,0.4
mix_librispeech_00013,librispeech,data/librispeech/LibriSpeech/test-clean/4446/2273/4446-2273-0000.flac,4446,hilda was very nice to him and he sat on the edge of his chair flushed with his conversational efforts and moving his chin about nervously over his high collar,data/librispeech/LibriSpeech/test-clean/4446/2273/4446-2273-0033.flac,data/librispeech/LibriSpeech/test-clean/908/31957/908-31957-0009.flac,908,and though i have grown serene and strong since then i think that god has willed a still renewable fear,5,0.2
mix_librispeech_00014,librispeech,data/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0054.flac,5142,that is the best way to decide for the spear will always point somewhere and one thing is as good as another,data/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0045.flac,data/librispeech/LibriSpeech/test-clean/2830/3980/2830-3980-0061.flac,2830,not gold or silver or paschal lambs or an angel but himself what for,5,1.0
mix_librispeech_00015,librispeech,data/librispeech/LibriSpeech/test-clean/1320/122617/1320-122617-0000.flac,1320,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur,data/librispeech/LibriSpeech/test-clean/1320/122617/1320-122617-0021.flac,data/librispeech/LibriSpeech/test-clean/908/31957/908-31957-0006.flac,908,open thy heart wide and fold within the wet wings of thy dove,0,0.5
mix_librispeech_00016,librispeech,data/librispeech/LibriSpeech/test-clean/3575/170457/3575-170457-0032.flac,3575,come come i am getting really tired of your absence,data/librispeech/LibriSpeech/test-clean/3575/170457/3575-170457-0010.flac,data/librispeech/LibriSpeech/test-clean/6829/68769/6829-68769-0033.flac,6829,it was better for him to think the girl unfeeling than to know the truth,5,0.3
mix_librispeech_00017,librispeech,data/librispeech/LibriSpeech/test-clean/8224/274381/8224-274381-0001.flac,8224,among other persons of distinction who united themselves to him was lord napier of merchiston son of the famous inventor of the logarithms the person to whom the title of a great man is more justly due than to any other whom his country ever produced,data/librispeech/LibriSpeech/test-clean/8224/274381/8224-274381-0014.flac,data/librispeech/LibriSpeech/test-clean/4970/29095/4970-29095-0023.flac,4970,i have nothing to wear replied that demure person,0,0.2
mix_librispeech_00018,librispeech,data/librispeech/LibriSpeech/test-clean/121/123859/121-123859-0002.flac,121,but reckoning time whose million'd accidents creep in twixt vows and change decrees of kings tan sacred beauty blunt the sharp'st intents divert strong minds to the course of altering things alas why fearing of time's tyranny might i not then say now i love you best when i was certain o'er incertainty crowning the present doubting of the rest,data/librispeech/LibriSpeech/test-clean/121/127105/121-127105-0026.flac,data/librispeech/LibriSpeech/test-clean/4970/29093/4970-29093-0011.flac,4970,o very well said gringo turning away with a shade of contempt you'll find if you are going into literature and newspaper work that you can't afford a conscience like that,5,0.3
mix_librispeech_00019,librispeech,data/librispeech/LibriSpeech/test-clean/1284/134647/1284-134647-0004.flac,1284,some of the penal regulations were copied from the edicts of diocletian and this method of conversion was applauded by the same bishops who had felt the hand of oppression and pleaded for the rights of humanity,data/librispeech/LibriSpeech/test-clean/1284/1180/1284-1180-0013.flac,data/librispeech/LibriSpeech/test-clean/8230/279154/8230-279154-0011.flac,8230,some images like some sensations feel very familiar while others feel strange,5,0.2
mix_librispeech_00020,librispeech,data/librispeech/LibriSpeech/test-clean/7021/79740/7021-79740-0005.flac,7021,i am very glad,data/librispeech/LibriSpeech/test-clean/7021/79759/7021-79759-0000.flac,data/librispeech/LibriSpeech/test-clean/6829/68769/6829-68769-0019.flac,6829,sorry we haven't any reception room in the jail,0,0.3
mix_librispeech_00021,librispeech,data/librispeech/LibriSpeech/test-clean/2094/142345/2094-142345-0060.flac,2094,oh i've no doubt it's in capital order,data/librispeech/LibriSpeech/test-clean/2094/142345/2094-142345-0015.flac,data/librispeech/LibriSpeech/test-clean/8224/274384/8224-274384-0001.flac,8224,the scottish generals and commissioners affected great surprise on the appearance of the king and though they paid him all the exterior respect due to his dignity they instantly set a guard upon him under color of protection and made him in reality a prisoner,5,1.0
mix_librispeech_00022,librispeech,data/librispeech/LibriSpeech/test-clean/8455/210777/8455-210777-0038.flac,8455,therefore i feel myself quite able as president of this republic to receive you with a courtesy due to the servants of a friendly ally,data/librispeech/LibriSpeech/test-clean/8455/210777/8455-210777-0054.flac,data/librispeech/LibriSpeech/test-clean/5683/32866/5683-32866-0011.flac,5683,their walk continued silent for the greater part neither was quite satisfied with the other but rachel at last said,5,0.2
mix_librispeech_00023,librispeech,data/librispeech/LibriSpeech/test-clean/2094/142345/2094-142345-0055.flac,2094,but you know more about that than i do sir,data/librispeech/LibriSpeech/test-clean/2094/142345/2094-142345-0032.flac,data/librispeech/LibriSpeech/test-clean/6930/81414/6930-81414-0020.flac,6930,i say you do know what this means and you must tell us,0,0.1
mix_librispeech_00024,librispeech,data/librispeech/LibriSpeech/test-clean/1995/1826/1995-1826-0010.flac,1995,at any rate i say go,data/librispeech/LibriSpeech/test-clean/1995/1826/1995-1826-0019.flac,data/librispeech/LibriSpeech/test-clean/908/157963/908-157963-0007.flac,908,the lilly of the valley breathing in the humble grass answerd the lovely maid and said i am a watry weed and i am very small and love to dwell in lowly vales so weak the gilded butterfly scarce perches on my head yet i am visited from heaven and he that smiles on all walks in the valley and each morn over me spreads his hand saying rejoice thou humble grass thou new born lily flower,0,1.0
mix_librispeech_00025,librispeech,data/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0048.flac,61,and henry might return to england at any moment,data/librispeech/LibriSpeech/test-clean/61/70970/61-70970-0013.flac,data/librispeech/LibriSpeech/test-clean/1284/1181/1284-1181-0015.flac,1284,most people talk too much so it is a relief to find one who talks too little,5,0.4
mix_librispeech_00026,librispeech,data/librispeech/LibriSpeech/test-clean/8463/287645/8463-287645-0013.flac,8463,as to his age and also the name of his master jacob's statement varied somewhat from the advertisement,data/librispeech/LibriSpeech/test-clean/8463/294828/8463-294828-0024.flac,data/librispeech/LibriSpeech/test-clean/7176/88083/7176-88083-0008.flac,7176,in despair he hurled himself downward too soon,5,0.5
mix_librispeech_00027,librispeech,data/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0009.flac,1089,angry with himself he tried to hide his face from their eyes by gazing down sideways into the shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickey,data/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0014.flac,data/librispeech/LibriSpeech/test-clean/7176/92135/7176-92135-0012.flac,7176,indeed irresolution being the keynote of hamlet's soliloquy a clever player could to some extent indicate the whole thirty lines by a silent working of the jaw but at the same time it would be idle to deny that he would miss the finer shades of the dramatist's meaning,5,1.0
mix_librispeech_00028,librispeech,data/librispeech/LibriSpeech/test-clean/4992/41806/4992-41806-0005.flac,4992,next came olive's turn to help in the ceremonies,data/librispeech/LibriSpeech/test-clean/4992/23283/4992-23283-0007.flac,data/librispeech/LibriSpeech/test-clean/4446/2275/4446-2275-0027.flac,4446,he moved uneasily and his chair creaked,5,0.2
mix_librispeech_00029,librispeech,data/librispeech/LibriSpeech/test-clean/672/122797/672-122797-0073.flac,672,the wood flamed up splendidly under the large brewing copper and it sighed so deeply,data/librispeech/LibriSpeech/test-clean/672/122797/672-122797-0000.flac,data/librispeech/LibriSpeech/test-clean/4077/13751/4077-13751-0004.flac,4077,the practise of gathering its proselytes into one place prevents the building up and strengthening of foreign branches and inasmuch as extensive and strong organizations are seldom met with abroad very erroneous ideas exist concerning the strength of the church,0,0.5
mix_librispeech_00030,librispeech,data/librispeech/LibriSpeech/test-clean/1580/141084/1580-141084-0047.flac,1580,i have a letter here mister soames which i wrote to you early this morning in the middle of a restless night,data/librispeech/LibriSpeech/test-clean/1580/141084/1580-141084-0026.flac,data/librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0001.flac,4507,it engenders a whole world la pegre for which read theft and a hell la pegrenne for which read hunger,0,0.2
mix_librispeech_00031,librispeech,data/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0000.flac,5142,it was one of the masterly and charming stories of dumas the elder,data/librispeech/LibriSpeech/test-clean/5142/36586/5142-36586-0002.flac,data/librispeech/LibriSpeech/test-clean/237/134500/237-134500-0002.flac,237,a brisk wind had come up and was driving puffy white clouds across the sky,0,0.5
mix_librispeech_00032,librispeech,data/librispeech/LibriSpeech/test-clean/4970/29095/4970-29095-0022.flac,4970,is thee going to the yearly meeting ruth asked one of the girls,data/librispeech/LibriSpeech/test-clean/4970/29095/4970-29095-0007.flac,data/librispeech/LibriSpeech/test-clean/1188/133604/1188-133604-0015.flac,1188,the law of that school is that everything shall be seen clearly or at least only in such mist or faintness as shall be delightful and i have no doubt that the best introduction to it would be the elementary practice of painting every study on a golden ground,0,0.3
mix_librispeech_00033,librispeech,data/librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0038.flac,4507,in this guise it becomes horrible,data/librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0015.flac,data/librispeech/LibriSpeech/test-clean/1284/1180/1284-1180-0025.flac,1284,i think i must show you my patchwork girl said margolotte laughing at the boy's astonishment for she is rather difficult to explain,0,0.5
mix_librispeech_00034,librispeech,data/librispeech/LibriSpeech/test-clean/1320/122617/1320-122617-0030.flac,1320,so choose for yourself to make a rush or tarry here,data/librispeech/LibriSpeech/test-clean/1320/122612/1320-122612-0005.flac,data/librispeech/LibriSpeech/test-clean/6930/76324/6930-76324-0018.flac,6930,he makes it sort of cozier,0,0.5
mix_librispeech_00035,librispeech,data/librispeech/LibriSpeech/test-clean/2094/142345/2094-142345-0004.flac,2094,and what through the left hand window,data/librispeech/LibriSpeech/test-clean/2094/142345/2094-142345-0008.flac,data/librispeech/LibriSpeech/test-clean/6829/68771/6829-68771-0032.flac,6829,however her features and form might repress any evidence of nervousness these hands told a different story,0,0.3
mix_librispeech_00036,librispeech,data/librispeech/LibriSpeech/test-clean/7176/88083/7176-88083-0002.flac,7176,his feet were red his long narrow beak with its saw toothed edges and sharp hooked tip was bright red,data/librispeech/LibriSpeech/test-clean/7176/92135/7176-92135-0026.flac,data/librispeech/LibriSpeech/test-clean/2830/3980/2830-3980-0070.flac,2830,but we are careless we make light of sin,0,1.0
mix_librispeech_00037,librispeech,data/librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0055.flac,4507,to teach reading means to light the fire every syllable spelled out sparkles,data/librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0025.flac,data/librispeech/LibriSpeech/test-clean/5142/33396/5142-33396-0067.flac,5142,but young sharp tongue now that we have caught you we will put you into a trap that you cannot get out of,5,0.5
mix_librispeech_00038,librispeech,data/librispeech/LibriSpeech/test-clean/672/122797/672-122797-0064.flac,672,at last the little mice stayed away also and the tree sighed after all it was very pleasant when the sleek little mice sat round me and listened to what i told them,data/librispeech/LibriSpeech/test-clean/672/122797/672-122797-0015.flac,data/librispeech/LibriSpeech/test-clean/3575/170457/3575-170457-0045.flac,3575,i am not good enough for you and you must be kept from the contamination of too intimate society,0,0.1
mix_librispeech_00039,librispeech,data/librispeech/LibriSpeech/test-clean/4992/41797/4992-41797-0019.flac,4992,olive's mournful black eyes met nancy's sparkling brown ones,data/librispeech/LibriSpeech/test-clean/4992/23283/4992-23283-0001.flac,data/librispeech/LibriSpeech/test-clean/8455/210777/8455-210777-0053.flac,8455,were i to comply with your orders without expressing my own opinion i should seem to have done so willingly hereafter,0,0.5
mix_librispeech_00040,librispeech,data/librispeech/LibriSpeech/test-clean/2961/961/2961-961-0005.flac,2961,some poems of solon were recited by the boys,data/librispeech/LibriSpeech/test-clean/2961/960/2961-960-0000.flac,data/librispeech/LibriSpeech/test-clean/1320/122612/1320-122612-0015.flac,1320,the whole party crowded to the spot where uncas pointed out the impression of a moccasin in the moist alluvion,0,0.2
mix_librispeech_00041,librispeech,data/librispeech/LibriSpeech/test-clean/1320/122612/1320-122612-0001.flac,1320,the dews were suffered to exhale and the sun had dispersed the mists and was shedding a strong and clear light in the forest when the travelers resumed their journey,data/librispeech/LibriSpeech/test-clean/1320/122617/1320-122617-0040.flac,data/librispeech/LibriSpeech/test-clean/121/123852/121-123852-0004.flac,121,my heart doth plead that thou in him dost lie a closet never pierc'd with crystal eyes but the defendant doth that plea deny and says in him thy fair appearance lies,5,0.1
mix_librispeech_00042,librispeech,data/librispeech/LibriSpeech/test-clean/7127/75946/7127-75946-0017.flac,7127,his legs the best shaped at court were displayed to great advantage in flesh colored silken hose of silk so fine and so transparent that it seemed almost like flesh itself,data/librispeech/LibriSpeech/test-clean/7127/75947/7127-75947-0000.flac,data/librispeech/LibriSpeech/test-clean/4446/2273/4446-2273-0002.flac,4446,lamb wouldn't care a great deal about many of them i fancy,5,0.2
mix_librispeech_00043,librispeech,data/librispeech/LibriSpeech/test-clean/7176/92135/7176-92135-0021.flac,7176,i say i've been wondering about this business,data/librispeech/LibriSpeech/test-clean/7176/88083/7176-88083-0016.flac,data/librispeech/LibriSpeech/test-clean/8230/279154/8230-279154-0026.flac,8230,this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory,5,0.2
mix_librispeech_00044,librispeech,data/librispeech/LibriSpeech/test-clean/6829/68771/6829-68771-0023.flac,6829,you speak like an educated person said beth wonderingly where is your home,data/librispeech/LibriSpeech/test-clean/6829/68769/6829-68769-0052.flac,data/librispeech/LibriSpeech/test-clean/260/123440/260-123440-0016.flac,260,i shall be punished for it now i suppose by being drowned in my own tears,0,0.1
mix_librispeech_00045,librispeech,data/librispeech/LibriSpeech/test-clean/61/70970/61-70970-0021.flac,61,they then renewed their journey and under the better light made a safe crossing of the stable roofs,data/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0045.flac,data/librispeech/LibriSpeech/test-clean/6829/68769/6829-68769-0052.flac,6829,he might have had that forged check for the face of it if he'd been sharp,0,1.0
mix_librispeech_00046,librispeech,data/librispeech/LibriSpeech/test-clean/1580/141084/1580-141084-0015.flac,1580,he impressed me as being a perfectly honest man,data/librispeech/LibriSpeech/test-clean/1580/141083/1580-141083-0007.flac,data/librispeech/LibriSpeech/test-clean/5683/32866/5683-32866-0025.flac,5683,i did not even take the precaution of smoking up the chimney,5,0.1
mix_librispeech_00047,librispeech,data/librispeech/LibriSpeech/test-clean/3575/170457/3575-170457-0048.flac,3575,he refused at first to listen to the careful advice it was repugnant to his liberal nature,data/librispeech/LibriSpeech/test-clean/3575/170457/3575-170457-0012.flac,data/librispeech/LibriSpeech/test-clean/260/123440/260-123440-0016.flac,260,i shall be punished for it now i suppose by being drowned in my own tears,5,0.2
mix_librispeech_00048,librispeech,data/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0047.flac,61,master monceux the sheriff of nottingham was mightily put about when told of the rioting,data/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0023.flac,data/librispeech/LibriSpeech/test-clean/4446/2273/4446-2273-0002.flac,4446,lamb wouldn't care a great deal about many of them i fancy,5,0.2
mix_librispeech_00049,librispeech,data/librispeech/LibriSpeech/test-clean/1320/122617/1320-122617-0016.flac,1320,the cunning man is afraid that his breath will blow upon his brothers and take away their courage too continued david improving the hint he received they must stand further off,data/librispeech/LibriSpeech/test-clean/1320/122617/1320-122617-0011.flac,data/librispeech/LibriSpeech/test-clean/7729/102255/7729-102255-0021.flac,7729,but the affair was magnified as a crowning proof that the free state men were insurrectionists and outlaws,0,0.1
mix_librispeech_00050,librispeech,data/librispeech/LibriSpeech/test-clean/7176/92135/7176-92135-0027.flac,7176,lady larkspur starts suddenly and turns towards him,data/librispeech/LibriSpeech/test-clean/7176/88083/7176-88083-0001.flac,data/librispeech/LibriSpeech/test-clean/1580/141083/1580-141083-0048.flac,1580,how came you to leave the key in the door,0,0.2
mix_librispeech_00051,librispeech,data/librispeech/LibriSpeech/test-clean/5683/32879/5683-32879-0009.flac,5683,ill and troubled dear troubled in mind and miserably nervous,data/librispeech/LibriSpeech/test-clean/5683/32879/5683-32879-0013.flac,data/librispeech/LibriSpeech/test-clean/6930/75918/6930-75918-0020.flac,6930,bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,0,0.4
mix_librispeech_00052,librispeech,data/librispeech/LibriSpeech/test-clean/1284/1180/1284-1180-0028.flac,1284,a bed quilt made of patches of different kinds and colors of cloth all neatly sewed together,data/librispeech/LibriSpeech/test-clean/1284/1180/1284-1180-0010.flac,data/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0021.flac,5142,envy hatred malice and uncharitableness are never so essentially detestable to my mind as when they are animated by a sense of propriety and work under the surface but for my interest in naomi and my other interest in the little love looks which i now and then surprised passing between her and ambrose i should never have sat through that supper,0,0.4
mix_librispeech_00053,librispeech,data/librispeech/LibriSpeech/test-clean/4077/13751/4077-13751-0012.flac,4077,the lieutenant governor lilburn w boggs afterward governor was a pronounced mormon hater and throughout the period of the troubles he manifested sympathy with the persecutors,data/librispeech/LibriSpeech/test-clean/4077/13754/4077-13754-0007.flac,data/librispeech/LibriSpeech/test-clean/4446/2273/4446-2273-0030.flac,4446,alexander went over and opened the window for her,5,1.0
mix_librispeech_00054,librispeech,data/librispeech/LibriSpeech/test-clean/7729/102255/7729-102255-0043.flac,7729,in a few days an officer came with a requisition from governor shannon and took the prisoner by land to westport and afterwards from there to kansas city and leavenworth,data/librispeech/LibriSpeech/test-clean/7729/102255/7729-102255-0042.flac,data/librispeech/LibriSpeech/test-clean/6930/76324/6930-76324-0021.flac,6930,surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish,0,0.2
mix_librispeech_00055,librispeech,data/librispeech/LibriSpeech/test-clean/4446/2275/4446-2275-0040.flac,4446,the sight of you bartley to see you living and happy and successful can i never make you understand what that means to me,data/librispeech/LibriSpeech/test-clean/4446/2273/4446-2273-0002.flac,data/librispeech/LibriSpeech/test-clean/1284/1180/1284-1180-0027.flac,1284,yet that task was not so easy as you may suppose,0,1.0
mix_librispeech_00056,librispeech,data/librispeech/LibriSpeech/test-clean/4970/29093/4970-29093-0003.flac,4970,the modest fellow would have liked fame thrust upon him for some worthy achievement it might be for a book or for the skillful management of some great newspaper or for some daring expedition like that of lieutenant strain or doctor kane,data/librispeech/LibriSpeech/test-clean/4970/29095/4970-29095-0013.flac,data/librispeech/LibriSpeech/test-clean/6930/75918/6930-75918-0001.flac,6930,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0,0.1
mix_librispeech_00057,librispeech,data/librispeech/LibriSpeech/test-clean/7021/85628/7021-85628-0020.flac,7021,he darted like an arrow through all the halls down all the stairs and across the yard,data/librispeech/LibriSpeech/test-clean/7021/79730/7021-79730-0005.flac,data/librispeech/LibriSpeech/test-clean/260/123288/260-123288-0027.flac,260,a suffocating smell of nitrogen fills the air it enters the throat it fills the lungs,0,0.5
mix_librispeech_00058,librispeech,data/librispeech/LibriSpeech/test-clean/1320/122612/1320-122612-0003.flac,1320,he often stopped to examine the trees nor did he cross a rivulet without attentively considering the quantity the velocity and the color of its waters,data/librispeech/LibriSpeech/test-clean/1320/122617/1320-122617-0026.flac,data/librispeech/LibriSpeech/test-clean/3570/5696/3570-5696-0004.flac,3570,the salient features of this development of domestic service have already been indicated,5,0.1
mix_librispeech_00059,librispeech,data/librispeech/LibriSpeech/test-clean/8230/279154/8230-279154-0021.flac,8230,remembering has to be a present occurrence in some way resembling or related to what is remembered,data/librispeech/LibriSpeech/test-clean/8230/279154/8230-279154-0015.flac,data/librispeech/LibriSpeech/test-clean/8455/210777/8455-210777-0015.flac,8455,i and my wife and son and the two craswellers and three or four others agreed to dine on board the ship on the next,0,0.5
mix_librispeech_00060,librispeech,data/librispeech/LibriSpeech/test-clean/1580/141083/1580-141083-0001.flac,1580,i had always known him to be restless in his manner but on this particular occasion he was in such a state of uncontrollable agitation that it was clear something very unusual had occurred,data/librispeech/LibriSpeech/test-clean/1580/141083/1580-141083-0053.flac,data/librispeech/LibriSpeech/test-clean/8455/210777/8455-210777-0034.flac,8455,not a doubt but had your force been only double or treble our own i should have found it my duty to struggle with you,5,0.3
mix_librispeech_00061,librispeech,data/librispeech/LibriSpeech/test-clean/2830/3980/2830-3980-0039.flac,2830,the terms of grace and peace are common terms with paul and are now pretty well understood,data/librispeech/LibriSpeech/test-clean/2830/3980/2830-3980-0072.flac,data/librispeech/LibriSpeech/test-clean/4970/29093/4970-29093-0005.flac,4970,sometimes he thought he would like to stand in a conspicuous pulpit and humbly preach the gospel of repentance and it even crossed his mind that it would be noble to give himself to a missionary life to some benighted region where the date palm grows and the nightingale's voice is in tune and the bul bul sings on the off nights,0,0.3
mix_librispeech_00062,librispeech,data/librispeech/LibriSpeech/test-clean/5683/32865/5683-32865-0015.flac,5683,i had a horrid dream about him last night that,data/librispeech/LibriSpeech/test-clean/5683/32865/5683-32865-0016.flac,data/librispeech/LibriSpeech/test-clean/4507/16021/4507-16021-0007.flac,4507,slang makes one shudder,5,0.3
