mix_id,sir_level_db,overlap_ratio,target_transcript,pred_transcript,wer,cer,leakage_rate
mix_librispeech_06514,5,0.4,are you certain that this is the mediterranean,are you certain that this is the mediterranean,0.0,0.0,0.0
mix_librispeech_04662,0,0.4,0 what a record to read what a picture to gaze upon how awful the fact,0 what a record to re bear and what a picture is against upon how awful the fact,0.3125,0.2,0.16666666666666666
mix_librispeech_04021,0,1.0,the hope and dream of harvest was upon the land,when you are about the name of the car the car is in the quiet,1.3,0.7446808510638298,0.2
mix_librispeech_01854,5,0.2,chapter 7 on the races of man,chapter 7 on the races of man,0.0,0.0,0.0
mix_librispeech_11776,5,0.1,each will therefore serve about equally well during the earlier stages of social growth,each will therefore serve about equally well during the earlier stages of social growth,0.0,0.0,0.0
mix_librispeech_02872,5,0.2,this differentiation is furthered by the inheritance of wealth and the consequent inheritance of gentility,this differentiation is furthered by the inheritance of wealth and the consequent inheritance of gentilities,0.06666666666666667,0.02830188679245283,0.0
mix_librispeech_03030,5,0.3,he darted like an arrow through all the halls down all the stairs and across the yard,he darted like an arrow through all the halls down all the stairs and across the yard,0.0,0.0,0.0
mix_librispeech_09397,5,0.1,the university,the university,0.0,0.0,0.0
mix_librispeech_01645,5,0.2,he had a good appetite could tell a good story without laughing was celebrated for his witty repartees and his sociable manners but he spent his life at home seldom going out and seeing hardly anyone because he always had a pipe in his mouth and was surrounded by at least 20 cats with which he would amuse himself all day,he had a good appetite could tell a good story without laughing was celebrated for his witty repartais and his sociable manners but he spent his life at home seldom going out and seeing hardly anyone because he always had a pipe in his mouth and was surrounded by at least 20 cats with which he would amuse himself all day,0.01639344262295082,0.006211180124223602,0.0
mix_librispeech_03417,0,0.1,mister jago is an american philip,this gioca was an american philip,0.5,0.3333333333333333,0.0
mix_librispeech_03476,5,0.2,so i lived and now am your tooth thrall well it is the luck of war,so i lived and now i am your tooth thrall well it is the luck of war,0.0625,0.030303030303030304,0.0
mix_librispeech_11945,0,1.0,the count shook his head,but count,0.8,0.75,0.0
