mix_id,dataset,target_audio_path,target_speaker_id,target_gender,target_transcript,noise_audio_path,noise_speaker_id,noise_gender,noise_transcript,sir_level_db,overlap_ratio,target_start_time,noise_start_times
mix_librispeech_0000,librispeech,data/librispeech/LibriSpeech/test-clean/4992/41797/4992-41797-0008.flac,4992,Unknown,mister popham exaggerated nothing but on the contrary left much unsaid in his narrative of the family at the house of lords,data/librispeech/LibriSpeech/test-clean/6829/68771/6829-68771-0022.flac,6829,Unknown,i attend to the household mending you know and care for the linen,0,0.1,0.0,[]
mix_librispeech_0001,librispeech,data/librispeech/LibriSpeech/test-clean/1284/1181/1284-1181-0011.flac,1284,Unknown,very carefully the magician removed this powder placing it all together in a golden dish where he mixed it with a golden spoon,data/librispeech/LibriSpeech/test-clean/2830/3979/2830-3979-0004.flac,2830,Unknown,it was written in latin,0,0.3,0.0,[]
mix_librispeech_0002,librispeech,data/librispeech/LibriSpeech/test-clean/7021/85628/7021-85628-0000.flac,7021,Unknown,but anders cared nothing about that,data/librispeech/LibriSpeech/test-clean/6829/68769/6829-68769-0001.flac,6829,Unknown,it was a serious crime indeed mister watson told them and tom gates bade fair to serve a lengthy term in state's prison as a consequence of his rash act,5,0.4,0.0,[]
mix_librispeech_0003,librispeech,data/librispeech/LibriSpeech/test-clean/61/70970/61-70970-0018.flac,61,Unknown,the hours passed wearily by and movement could yet be heard about the hall,data/librispeech/LibriSpeech/test-clean/908/157963/908-157963-0004.flac,908,Unknown,thel is like a watry bow and like a parting cloud like a reflection in a glass like shadows in the water like dreams of infants like a smile upon an infants face,0,0.1,0.0,[]
mix_librispeech_0004,librispeech,data/librispeech/LibriSpeech/test-clean/5142/36377/5142-36377-0005.flac,5142,Unknown,the door opened again while i was still studying the two brothers without i honestly confess being very favorably impressed by either of them,data/librispeech/LibriSpeech/test-clean/121/127105/121-127105-0032.flac,121,Unknown,yes but that's just the beauty of her passion,-5,0.2,0.0,[]
mix_librispeech_0005,librispeech,data/librispeech/LibriSpeech/test-clean/4992/41797/4992-41797-0015.flac,4992,Unknown,cyril there must be some better way of doing i just draw the outline of an animal and then i put hairs or feathers on it they have no bodies,data/librispeech/LibriSpeech/test-clean/908/157963/908-157963-0017.flac,908,Unknown,the cloud then shewd his golden head and his bright form emerg'd,0,0.5,0.0,[]
mix_librispeech_0006,librispeech,data/librispeech/LibriSpeech/test-clean/6829/68769/6829-68769-0023.flac,6829,Unknown,i didn't stop to think whether it was foolish or not i did it and i'm glad i did,data/librispeech/LibriSpeech/test-clean/8463/294828/8463-294828-0006.flac,8463,Unknown,from rubbing shoulders with scientists in our little universe by the botanical gardens the boy had come to know a thing or two,-5,0.4,0.0,[]
mix_librispeech_0007,librispeech,data/librispeech/LibriSpeech/test-clean/3575/170457/3575-170457-0054.flac,3575,Unknown,stung by anxiety for this little sister she upbraided miss w for her fancied indifference to anne's state of health,data/librispeech/LibriSpeech/test-clean/4446/2273/4446-2273-0024.flac,4446,Unknown,bartley started when hilda rang the little bell beside her dear me why did you do that,0,0.3,0.0,[]
mix_librispeech_0008,librispeech,data/librispeech/LibriSpeech/test-clean/4970/29093/4970-29093-0002.flac,4970,Unknown,he has no traditions to bind him or guide him and his impulse is to break away from the occupation his father has followed and make a new way for himself,data/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0041.flac,61,Unknown,i like you will you are the second will that i have met and liked within two days is there a sign in that,5,0.4,0.0,[]
mix_librispeech_0009,librispeech,data/librispeech/LibriSpeech/test-clean/2830/3980/2830-3980-0070.flac,2830,Unknown,but we are careless we make light of sin,data/librispeech/LibriSpeech/test-clean/6829/68769/6829-68769-0019.flac,6829,Unknown,sorry we haven't any reception room in the jail,-5,0.4,0.0,[]
